id,slug,bucket,cross_book_dup,grounded_signals,hallucination_tells,dup_windows,max_fanout,ctx_len,reasoning,title
463,wintergirls,THIN,0,,,0,0,541,"no signals, no tells (len=541)",Wintergirls
464,yolk,THIN,0,,,0,0,698,"no signals, no tells (len=698)",Yolk
466,the-sky-is-everywhere,THIN,0,,,0,0,302,"no signals, no tells (len=302)",The Sky is Everywhere
467,the-notebook,THIN,0,,,0,0,940,"no signals, no tells (len=940)",The Notebook
470,this-girl,THIN,0,,,0,0,274,"no signals, no tells (len=274)",This Girl
481,the-kingdom-of-little-wounds,THIN,0,,,0,0,277,"no signals, no tells (len=277)",The Kingdom of Little Wounds
482,darkness-before-dawn,THIN,0,,,0,0,428,"no signals, no tells (len=428)",Darkness Before Dawn
484,i-was-here,THIN,0,,,0,0,344,"no signals, no tells (len=344)",I Was Here
494,blood-water-paint,THIN,0,,,0,0,417,"no signals, no tells (len=417)",Blood Water Paint
499,out-of-the-easy,THIN,0,,,0,0,198,"no signals, no tells (len=198)",Out of the Easy
502,maus-1-a-survivors-tale-my-father-bleeds-history,THIN,0,,,0,0,316,"no signals, no tells (len=316)",Maus 1: A Survivor's Tale: My Father Bleeds History
505,to-all-the-boys-ive-loved-before,THIN,0,,,0,0,330,"no signals, no tells (len=330)",To All the Boys I've Loved Before
507,daughter-of-smoke-and-bone,THIN,0,,,0,0,213,"no signals, no tells (len=213)",Daughter of Smoke and Bone
508,red-queen,THIN,0,,,0,0,277,"no signals, no tells (len=277)",Red Queen
510,monstress,THIN,0,,,0,0,378,"no signals, no tells (len=378)",Monstress
511,one-of-us-is-lying,THIN,0,,,0,0,213,"no signals, no tells (len=213)",One of Us Is Lying
514,soul-eater,THIN,0,,,0,0,450,"no signals, no tells (len=450)",Soul Eater
515,the-thousandth-floor,THIN,0,,,0,0,336,"no signals, no tells (len=336)",The Thousandth Floor
520,perfect,THIN,0,,,0,0,251,"no signals, no tells (len=251)",Perfect
522,chain-reaction,THIN,0,,,0,0,296,"no signals, no tells (len=296)",Chain Reaction
523,dark-places,THIN,0,,,0,0,369,"no signals, no tells (len=369)",Dark Places
524,bag-of-bones,GROUNDED,0,law-number,,0,0,510,signals: law-number,Bag of Bones
526,four-past-midnight,THIN,0,,,0,0,255,"no signals, no tells (len=255)",Four Past Midnight
527,the-drawing-of-the-three,THIN,0,,,0,0,546,"no signals, no tells (len=546)",The Drawing of the Three
531,burned-pcc,GROUNDED,0,named-org,,0,0,374,signals: named-org,Burned (PCC)
536,where-i-end-and-you-begin,THIN,0,,,0,0,397,"no signals, no tells (len=397)",Where I End and You Begin
538,guyaholic,THIN,0,,,0,0,326,"no signals, no tells (len=326)",Guyaholic
539,the-year-of-the-flood,GROUNDED,0,law-number,,0,0,345,signals: law-number,The Year of the Flood
541,running-with-scissors-a-memoir,THIN,0,,,0,0,652,"no signals, no tells (len=652)",Running with Scissors: A Memoir
542,going-bovine,THIN,0,,,0,0,221,"no signals, no tells (len=221)",Going Bovine
545,twilight,THIN,0,,,0,0,613,"no signals, no tells (len=613)",Twilight
