A Day in the Life of Marlon Bundo,"Twiss, Jill",,"Keller, E.G.",,,Florida,Lake County Schools,Fall 2022,Banned from Libraries,Legislative Action
A Day No Pigs Would Die,"Peck, Robert Newton",,,,,Michigan,Chippewa Valley Schools,February 2023,Banned from Libraries,Formal Challenge
A Day No Pigs Would Die,"Peck, Robert Newton",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Family Is a Family Is a Family,"O'Leary, Sara",,"Leng, Qin",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Family of Poems: My Favorite Poetry for Children,"Kennedy, Caroline",,"Muth, John J.",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
A Feast for Crows,"Martin, George R. R.",,,,A Song of Ice and Fire,Texas,Frisco Independent School District,September 2022,Banned from Libraries and Classrooms,Administration
A Feast for Crows,"Martin, George R. R.",,,,A Song of Ice and Fire,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
A Game of Thrones,"Martin, George R. R.",,,,A Song of Ice and Fire,Texas,Frisco Independent School District,September 2022,Banned from Libraries and Classrooms,Administration
"A Game of Thrones: The Graphic Novel, Vol. 1","Martin, George R. R.","Abraham, Daniel","Patterson, Tommy",,A Game of Thrones,Missouri,Lindbergh Schools,September 2022,Banned from Libraries,Legislative Action
"A Game of Thrones: The Graphic Novel, Vol. 2","Martin, George R. R.","Abraham, Daniel","Patterson, Tommy",,A Game of Thrones,Missouri,Lindbergh Schools,September 2022,Banned from Libraries,Legislative Action
"A Game of Thrones: The Graphic Novel, Vol. 3","Martin, George R. R.","Abraham, Daniel","Patterson, Tommy",,A Game of Thrones,Missouri,Lindbergh Schools,September 2022,Banned from Libraries,Legislative Action
"A Game of Thrones: The Graphic Novel, Vol. 4","Martin, George R. R.","Abraham, Daniel","Patterson, Tommy",,A Game of Thrones,Missouri,Lindbergh Schools,September 2022,Banned from Libraries,Legislative Action
A Gift for a Ghost,"González, Borja",,,"Douglas, Lee",,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
A Good Kind of Trouble,"Ramée, Lisa Moore",,,,,Utah,Canyons School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
A Good Kind of Trouble,"Ramée, Lisa Moore",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
A Good Kind of Trouble,"Ramée, Lisa Moore",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A History of Art,"Perdew, Laura",,,,Essential Library of Cultural History,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
A Lesson in Vengeance,"Lee, Victoria",,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
A Lesson in Vengeance,"Lee, Victoria",,,,,Florida,Escambia County Public Schools,February 2023,Banned Pending Investigation,Formal Challenge
A Little Piece of Ground,"Laird, Elizabeth","Nimr, Sonia","Neal, Bill",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Map to the Sun,"Leong, Sloane",,,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
A Medieval Cathedral,"Macdonald, Fiona",,"James, John",,Inside Story,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
A Million Shades of Gray,"Kadohata, Cynthia",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
A Neon Darkness,Lauren Shippen,,,,The Bright Sessions,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Quick & Easy Guide to Queer & Trans Identities,"G., Mady","Zuckerberg, J. R.",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Quick & Easy Guide to They/Them Pronouns,"Bongiovanni, Archie","Jimerson, Tristan",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Rational Explanation,"Youngblood, Tiffany",,,,Thomas and Dean Mysteries,Texas,Frisco Independent School District,September 2022,Banned from Libraries and Classrooms,Administration
A Reaper at the Gates,"Tahir, Sabaa",,,,Ember Quartet,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration
A Sense of the Infinite,"Smith, Hilary T.",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
A Sitting in St. James,"Williams-Garcia, Rita",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Sky Beyond the Storm,"Tahir, Sabaa",,,,Ember Quartet,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration
A Song Below Water,"Morrow, Bethany C.",,,,A Song Below Water,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Stolen Life,"Dugard, Jaycee",,,,,Utah,Washington County School District,June 2023,Banned Pending Investigation,Administration
A Stolen Life,"Dugard, Jaycee",,,,,Texas,Keller Independent School District,June 2023,Banned Pending Investigation,Formal Challenge
A Storm of Swords,"Martin, George R. R.",,,,A Song of Ice and Fire,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
A Storm of Swords,"Martin, George R. R.",,,,A Song of Ice and Fire,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
A Story about Cancer with a Happy Ending,"Desjardins, India",,"Ferrer, Marianne","Ouellet, Solange",,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
A Thousand Acres,"Smiley, Jane",,,,,Idaho,Kuna School District,February 2023,Banned Pending Investigation,Administration
A Thousand Splendid Suns,"Hosseini, Khaled",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
A Torch Against the Night,"Tahir, Sabaa",,,,Ember Quartet,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration
A Vow So Bold and Deadly,"Kemmerer, Brigid",,,,The Cursebreaker,Texas,Frisco Independent School District,January 2023,Banned from Libraries,Administration
"Aardvarks, Disembark!","Jonas, Ann",,,,Picture Puffins,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Acceptance,"VanderMeer, Jeff",,,,Southern Reach,Utah,Washington County School District,September 2022,Banned from Libraries and Classrooms,Administration
Acceptance,"VanderMeer, Jeff",,,,Southern Reach,Texas,Frisco Independent School District,October 2022,Banned Pending Investigation,Administration
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,Florida,Bay District Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
